id,device,timestamp,accuracy,timestamp,x,y,z
94111fcc-e2b1-4088-9314-2e84cb812c08-3,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.184658,3,2870220300.184658,2.0109015,-1.0049286,4.458411
94111fcc-e2b1-4088-9314-2e84cb812c08-4,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.189693,3,2870220300.189693,1.6412826,-2.0668373,3.505109
94111fcc-e2b1-4088-9314-2e84cb812c08-5,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.194728,3,2870220300.194728,1.7598199,-2.2670374,4.0385327
94111fcc-e2b1-4088-9314-2e84cb812c08-6,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.199764,3,2870220300.199764,1.9656738,-2.1727962,4.5603633
94111fcc-e2b1-4088-9314-2e84cb812c08-7,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.20483,3,2870220300.20483,1.206739,-1.8597393,4.34443
94111fcc-e2b1-4088-9314-2e84cb812c08-8,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.209926,3,2870220300.209926,1.1603771,-2.8178444,4.6732407
94111fcc-e2b1-4088-9314-2e84cb812c08-9,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.214839,3,2870220300.214839,0.71298504,-3.3400917,5.0452623
94111fcc-e2b1-4088-9314-2e84cb812c08-10,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.219905,3,2870220300.219905,0.06529498,-3.4989758,5.5548368
94111fcc-e2b1-4088-9314-2e84cb812c08-11,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.224971,3,2870220300.224971,-0.8892224,-4.282278,6.705598
94111fcc-e2b1-4088-9314-2e84cb812c08-12,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.229976,3,2870220300.229976,-0.9370277,-5.184293,8.655834
94111fcc-e2b1-4088-9314-2e84cb812c08-13,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.235042,3,2870220300.235042,-1.3988478,-5.7048845,9.207448
94111fcc-e2b1-4088-9314-2e84cb812c08-14,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.240108,3,2870220300.240108,-1.3823345,-6.5799723,9.108303
94111fcc-e2b1-4088-9314-2e84cb812c08-15,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.245082,3,2870220300.245082,-1.4130511,-7.229553,8.863081
94111fcc-e2b1-4088-9314-2e84cb812c08-16,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.250118,3,2870220300.250118,-1.934766,-7.0758314,8.634106
94111fcc-e2b1-4088-9314-2e84cb812c08-17,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.255153,3,2870220300.255153,-1.7818496,-6.3040934,8.403699
94111fcc-e2b1-4088-9314-2e84cb812c08-18,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.260219,3,2870220300.260219,-1.1446505,-4.6432104,7.86775
94111fcc-e2b1-4088-9314-2e84cb812c08-19,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.265224,3,2870220300.265224,-1.1402838,-2.6137028,7.954016
94111fcc-e2b1-4088-9314-2e84cb812c08-20,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.270259,3,2870220300.270259,-0.8691833,-0.15926743,7.7203827
94111fcc-e2b1-4088-9314-2e84cb812c08-21,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.275295,3,2870220300.275295,-0.628716,2.069316,7.2759237
94111fcc-e2b1-4088-9314-2e84cb812c08-22,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.28033,3,2870220300.28033,-0.39350724,4.031389,6.594702
94111fcc-e2b1-4088-9314-2e84cb812c08-23,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.285366,3,2870220300.285366,-0.12067056,5.357584,5.614067
94111fcc-e2b1-4088-9314-2e84cb812c08-24,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.290401,3,2870220300.290401,-0.8310721,6.06254,4.217049
94111fcc-e2b1-4088-9314-2e84cb812c08-25,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870220300.295436,3,2870220300.295436,-1.9977317,6.9359417,3.9972792
