id,device,timestamp,accuracy,timestamp,x,y,z
18247551-0650-49bb-b118-a6fe3e2c6c18-3,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.354139,3,2870776023.354139,0.009663299,0.0054502636,0.011900902
18247551-0650-49bb-b118-a6fe3e2c6c18-4,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.359174,3,2870776023.359174,-0.01482597,0.010920361,0.0031719208
18247551-0650-49bb-b118-a6fe3e2c6c18-5,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.364209,3,2870776023.364209,-0.011836916,-0.009457067,-0.013689041
18247551-0650-49bb-b118-a6fe3e2c6c18-6,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.369245,3,2870776023.369245,0.03168139,-0.0044902116,0.026182175
18247551-0650-49bb-b118-a6fe3e2c6c18-7,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.374372,3,2870776023.374372,0.012690574,0.0024641305,-0.016861916
18247551-0650-49bb-b118-a6fe3e2c6c18-8,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.379377,3,2870776023.379377,-0.024675071,0.043174997,-0.013431549
18247551-0650-49bb-b118-a6fe3e2c6c18-9,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.384412,3,2870776023.384412,0.033784747,0.009899616,0.042401314
18247551-0650-49bb-b118-a6fe3e2c6c18-10,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.389447,3,2870776023.389447,0.014320403,0.019645795,0.005952835
18247551-0650-49bb-b118-a6fe3e2c6c18-11,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.394361,3,2870776023.394361,-0.0094732195,0.0061619133,-0.010708809
18247551-0650-49bb-b118-a6fe3e2c6c18-12,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.399457,3,2870776023.399457,-0.03439054,0.01667273,-0.027047157
18247551-0650-49bb-b118-a6fe3e2c6c18-13,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.404462,3,2870776023.404462,0.01227802,0.013349891,0.009028435
18247551-0650-49bb-b118-a6fe3e2c6c18-14,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.409528,3,2870776023.409528,-0.008250579,0.021391138,-0.023526192
18247551-0650-49bb-b118-a6fe3e2c6c18-15,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.414563,3,2870776023.414563,-0.0074449033,-0.017458826,-0.016320229
18247551-0650-49bb-b118-a6fe3e2c6c18-16,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.41969,3,2870776023.41969,-0.016776249,0.021759138,0.03142357
18247551-0650-49bb-b118-a6fe3e2c6c18-17,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.424634,3,2870776023.424634,-0.0021735877,-0.000499472,-0.04641342
18247551-0650-49bb-b118-a6fe3e2c6c18-18,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.42967,3,2870776023.42967,-0.013104379,0.010989383,0.0044851303
18247551-0650-49bb-b118-a6fe3e2c6c18-19,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.434766,3,2870776023.434766,-0.03021644,-0.0017505586,-0.023864746
18247551-0650-49bb-b118-a6fe3e2c6c18-20,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.43971,3,2870776023.43971,0.0132837,-0.02172637,0.01234436
18247551-0650-49bb-b118-a6fe3e2c6c18-21,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.444867,3,2870776023.444867,-0.015421122,-0.011355713,0.023033142
18247551-0650-49bb-b118-a6fe3e2c6c18-22,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.449842,3,2870776023.449842,0.005909711,-0.018492997,0.038938522
18247551-0650-49bb-b118-a6fe3e2c6c18-23,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.45503,3,2870776023.45503,0.025130436,-0.02190131,0.01217556
18247551-0650-49bb-b118-a6fe3e2c6c18-24,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.459943,3,2870776023.459943,-0.012225285,0.006628543,0.012784958
18247551-0650-49bb-b118-a6fe3e2c6c18-25,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.46504,3,2870776023.46504,0.055751845,0.031683147,0.029361725
18247551-0650-49bb-b118-a6fe3e2c6c18-26,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.470014,3,2870776023.470014,0.011441737,0.035219684,0.013333321
18247551-0650-49bb-b118-a6fe3e2c6c18-27,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.475049,3,2870776023.475049,-0.01738441,-0.0105300695,0.0151081085
18247551-0650-49bb-b118-a6fe3e2c6c18-28,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.480085,3,2870776023.480085,0.024769023,0.026797473,0.00308609
18247551-0650-49bb-b118-a6fe3e2c6c18-29,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.485151,3,2870776023.485151,-0.06770414,-0.00026518106,-0.024568558
18247551-0650-49bb-b118-a6fe3e2c6c18-30,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.490186,3,2870776023.490186,-0.064047664,0.0023585558,0.02109623
18247551-0650-49bb-b118-a6fe3e2c6c18-31,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.495191,3,2870776023.495191,-0.0031164289,0.010648817,-0.008367538
18247551-0650-49bb-b118-a6fe3e2c6c18-32,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.500257,3,2870776023.500257,0.045507133,0.020963967,-0.0011854172
18247551-0650-49bb-b118-a6fe3e2c6c18-33,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.505262,3,2870776023.505262,0.023528308,-0.0059483796,0.048430443
18247551-0650-49bb-b118-a6fe3e2c6c18-34,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.510297,3,2870776023.510297,0.0530214,0.0060108006,-0.029209137
18247551-0650-49bb-b118-a6fe3e2c6c18-35,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.515363,3,2870776023.515363,0.006637588,0.010721698,0.019011497
18247551-0650-49bb-b118-a6fe3e2c6c18-36,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.520368,3,2870776023.520368,-0.030350894,0.034985334,0.06009102
18247551-0650-49bb-b118-a6fe3e2c6c18-37,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.525403,3,2870776023.525403,0.05171804,-0.0224192,-0.0040636063
18247551-0650-49bb-b118-a6fe3e2c6c18-38,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.5305,3,2870776023.5305,0.025127351,-0.0053578764,0.051629066
18247551-0650-49bb-b118-a6fe3e2c6c18-39,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.535474,3,2870776023.535474,0.038570315,0.014720261,0.014345169
18247551-0650-49bb-b118-a6fe3e2c6c18-40,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.540509,3,2870776023.540509,-0.0039658993,-0.039895058,0.027893066
18247551-0650-49bb-b118-a6fe3e2c6c18-41,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.545545,3,2870776023.545545,-0.0059862137,0.017096713,0.03996086
18247551-0650-49bb-b118-a6fe3e2c6c18-42,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.55058,3,2870776023.55058,0.012886465,0.014597818,0.008796692
18247551-0650-49bb-b118-a6fe3e2c6c18-43,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.555616,3,2870776023.555616,0.017402217,0.023786157,-0.007678032
18247551-0650-49bb-b118-a6fe3e2c6c18-44,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.560651,3,2870776023.560651,-0.018838838,0.011901647,-0.06213665
18247551-0650-49bb-b118-a6fe3e2c6c18-45,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.565686,3,2870776023.565686,-0.019373208,0.010760739,0.04046917
18247551-0650-49bb-b118-a6fe3e2c6c18-46,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870776023.570722,3,2870776023.570722,-0.019905701,0.002694875,-0.003487587
