id,device,timestamp,activityLevel,timestamp
18247551-0650-49bb-b118-a6fe3e2c6c18-206,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396227.902,none,1435396227.902
18247551-0650-49bb-b118-a6fe3e2c6c18-408,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396228.905,none,1435396228.905
18247551-0650-49bb-b118-a6fe3e2c6c18-612,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396229.911,none,1435396229.911
18247551-0650-49bb-b118-a6fe3e2c6c18-813,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396230.908,none,1435396230.908
18247551-0650-49bb-b118-a6fe3e2c6c18-1017,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396231.914,none,1435396231.914
18247551-0650-49bb-b118-a6fe3e2c6c18-1219,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396232.913,none,1435396232.913
18247551-0650-49bb-b118-a6fe3e2c6c18-1423,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396233.915,none,1435396233.915
18247551-0650-49bb-b118-a6fe3e2c6c18-1626,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396234.917,none,1435396234.917
18247551-0650-49bb-b118-a6fe3e2c6c18-1828,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396235.919,none,1435396235.919
18247551-0650-49bb-b118-a6fe3e2c6c18-2031,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396236.921,none,1435396236.921
18247551-0650-49bb-b118-a6fe3e2c6c18-2234,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396237.923,none,1435396237.923
18247551-0650-49bb-b118-a6fe3e2c6c18-2438,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396238.925,none,1435396238.925
18247551-0650-49bb-b118-a6fe3e2c6c18-2642,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396239.934,none,1435396239.934
18247551-0650-49bb-b118-a6fe3e2c6c18-2844,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396240.93,none,1435396240.93
18247551-0650-49bb-b118-a6fe3e2c6c18-12205,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396325.593,none,1435396325.593
18247551-0650-49bb-b118-a6fe3e2c6c18-12407,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396326.594,none,1435396326.594
18247551-0650-49bb-b118-a6fe3e2c6c18-12609,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396327.598,none,1435396327.598
18247551-0650-49bb-b118-a6fe3e2c6c18-12810,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396328.598,none,1435396328.598
18247551-0650-49bb-b118-a6fe3e2c6c18-13013,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396329.601,none,1435396329.601
18247551-0650-49bb-b118-a6fe3e2c6c18-13214,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396330.603,none,1435396330.603
18247551-0650-49bb-b118-a6fe3e2c6c18-13417,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396331.606,none,1435396331.606
18247551-0650-49bb-b118-a6fe3e2c6c18-13619,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396332.607,none,1435396332.607
18247551-0650-49bb-b118-a6fe3e2c6c18-13821,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396333.61,none,1435396333.61
18247551-0650-49bb-b118-a6fe3e2c6c18-14022,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396334.611,none,1435396334.611
18247551-0650-49bb-b118-a6fe3e2c6c18-14225,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396335.614,none,1435396335.614
18247551-0650-49bb-b118-a6fe3e2c6c18-14426,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396336.615,none,1435396336.615
18247551-0650-49bb-b118-a6fe3e2c6c18-14629,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396337.618,none,1435396337.618
18247551-0650-49bb-b118-a6fe3e2c6c18-14831,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396338.623,none,1435396338.623
